id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
21,0.458755,tcp,http,FIN,10,6,1134,266,32.69697,254,252,17769.7167,3906.198976,2,1,50.973111,85.952,2624.315693,141.29789,255,1813565984,1053837589,255,0.139595,0.02833,0.11123,113,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Exploits
22,0.16042,tcp,-,FIN,68,70,4016,59464,853.965623,31,29,197222.421,2922731.73,7,28,2.425012,2.341643,148.540071,143.166687,255,1325695876,3496878279,255,0.003014,0.001182,0.001829,59,849,0,0,9,0,6,1,1,1,0,0,0,4,7,0,Normal
23,0.600755,tcp,-,FIN,10,6,590,262,24.968662,254,252,7071.125486,2982.923093,2,1,62.473882,103.846608,3356.041813,162.631789,255,2536974517,4115830327,255,0.248933,0.081518,0.167413,59,45,0,0,5,1,1,1,1,4,0,0,0,1,4,0,Fuzzers
24,8.00E-05,udp,-,INT,2,0,168,0,100000.0028,254,0,67200000,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,84,0,0,0,2,2,11,1,1,1,0,0,0,1,1,0,Reconnaissance
25,0.0112,tcp,-,FIN,34,36,2230,13504,6111.603287,31,29,1534101,9300266,7,11,0.341873,0.316023,22.573644,21.187815,255,2514592009,365294853,255,0.000646,0.000532,0.000112,66,375,0,0,6,0,3,1,1,6,0,0,0,4,6,0,Normal
26,0.52443,tcp,http,FIN,20,76,1224,94732,181.146637,62,252,17771.4378,1426047.372,2,36,27.601941,6.885308,1348.075436,844.28501,255,2943941975,808451987,255,0.05375,0.007415,0.046346,61,1246,1,45575,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
27,9.00E-06,udp,dns,INT,2,0,118,0,500000.0015,254,0,228000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,26,2,27,25,13,26,0,0,0,26,26,0,Generic
28,1.70E-05,unas,-,INT,2,0,206,0,62500.00015,254,0,50000000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,7,2,2,2,2,7,0,0,0,8,7,0,Exploits
29,0.428963,tcp,-,FIN,10,6,536,268,34.96806,254,252,8970.470706,4177.516609,2,1,47.657,65.810204,2428.593974,99.402377,255,2847265166,3304307309,255,0.168802,0.099904,0.0687,53,45,0,0,6,1,3,4,2,5,0,0,0,4,5,0,Fuzzers
30,9.00E-06,unas,-,INT,2,0,204,0,111111.1076,254,0,88888888,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,100,0,0,0,7,2,2,2,2,7,0,0,0,20,7,0,Exploits
