id,attack_cat
300,Fuzzers
301,Normal
302,Exploits
303,DoS
304,Fuzzers
305,Normal
306,DoS
307,Fuzzers
308,Normal
309,Normal
310,Normal
311,Generic
312,Normal
313,Reconnaissance
314,Generic
315,Fuzzers
316,Fuzzers
317,Normal
318,Normal
319,Normal
320,Normal
321,Normal
322,Exploits
323,Normal
324,Reconnaissance
325,Normal
326,Normal
327,Normal
328,Generic
329,Generic
330,DoS
331,Normal
332,Analysis
333,Generic
334,Fuzzers
335,Generic
336,Generic
337,Normal
338,Fuzzers
339,Exploits
340,DoS
341,Exploits
342,Generic
343,Normal
344,Generic
345,Exploits
346,Fuzzers
347,Exploits
348,Normal
349,Exploits
350,Reconnaissance
351,Fuzzers
352,Generic
353,Generic
354,Exploits
355,Normal
356,Exploits
357,Reconnaissance
358,Exploits
359,Generic
360,Generic
361,Normal
362,Generic
363,Fuzzers
364,Generic
365,Exploits
366,DoS
367,Generic
368,Normal
369,Normal
370,Fuzzers
371,Fuzzers
372,Normal
373,Normal
374,Exploits
375,Normal
376,Fuzzers
377,Worms
378,Normal
379,Generic
380,Fuzzers
381,Generic
382,Generic
383,Reconnaissance
384,Exploits
385,Exploits
386,Normal
387,Fuzzers
388,Fuzzers
389,Generic
390,Normal
391,Normal
392,Exploits
393,Generic
394,Generic
395,Normal
396,Normal
397,DoS
398,Normal
399,Fuzzers
400,DoS
401,Generic
402,Generic
403,Exploits
404,Exploits
405,Normal
406,Exploits
407,Generic
408,Generic
409,Normal
410,Normal
411,Exploits
412,Backdoor
413,Exploits
414,Exploits
415,Normal
416,Reconnaissance
417,Generic
418,Fuzzers
419,Exploits
420,Exploits
421,Exploits
422,DoS
423,Generic
424,Generic
425,Generic
426,Generic
427,Generic
428,Normal
429,Fuzzers
430,Generic
431,Generic
432,Fuzzers
433,Normal
434,Exploits
435,Normal
436,Normal
437,Exploits
438,Generic
439,Exploits
440,Fuzzers
441,DoS
442,Generic
443,Normal
444,Normal
445,Normal
446,Generic
447,Reconnaissance
448,Reconnaissance
449,Generic
450,Exploits
451,Exploits
452,Generic
453,Generic
454,Generic
455,Fuzzers
456,Exploits
457,Fuzzers
458,Normal
459,Exploits
460,Exploits
461,Normal
462,Generic
463,Fuzzers
464,Fuzzers
465,Fuzzers
466,Generic
467,Normal
468,Exploits
469,Normal
470,Normal
471,Generic
472,Fuzzers
473,Fuzzers
474,Normal
475,Exploits
476,DoS
477,Normal
478,DoS
479,Normal
480,Generic
481,Reconnaissance
482,Normal
483,Generic
484,Exploits
485,Exploits
486,Analysis
487,Exploits
488,Generic
489,Normal
490,Fuzzers
491,Fuzzers
492,Exploits
493,Exploits
494,Generic
495,Exploits
496,Fuzzers
497,Analysis
498,Generic
499,Generic
500,Generic
501,Exploits
502,Reconnaissance
503,Exploits
504,Analysis
505,Reconnaissance
506,Reconnaissance
507,Generic
508,Generic
509,Normal
510,Reconnaissance
511,Normal
512,Normal
513,Fuzzers
514,Reconnaissance
515,DoS
516,Normal
517,Normal
518,Normal
519,Normal
520,Reconnaissance
521,Exploits
522,Exploits
523,Exploits
524,Exploits
525,Normal
526,Generic
527,Exploits
528,Generic
529,DoS
530,Normal
531,Reconnaissance
532,Generic
533,Exploits
534,Normal
535,Normal
536,Reconnaissance
537,Normal
538,Reconnaissance
539,Normal
540,Generic
541,Fuzzers
542,Reconnaissance
543,Exploits
544,Worms
545,Generic
546,Normal
547,Normal
548,Generic
549,Generic
550,Generic
551,Normal
552,Normal
553,Normal
554,Fuzzers
555,Exploits
556,Generic
557,Reconnaissance
558,Normal
559,Shellcode
560,Normal
561,Reconnaissance
562,Normal
563,Normal
564,Normal
565,Generic
566,Analysis
567,Normal
568,Normal
569,Fuzzers
570,Normal
571,Generic
572,Fuzzers
573,Generic
574,Normal
575,Normal
576,Exploits
577,DoS
578,DoS
579,Normal
580,Exploits
581,DoS
582,Generic
583,Normal
584,Shellcode
585,Reconnaissance
586,Normal
587,Normal
588,DoS
589,Fuzzers
590,Exploits
591,Fuzzers
592,Generic
593,Exploits
594,Normal
595,Generic
596,Generic
597,Normal
598,Generic
599,Normal
600,Generic
601,Normal
602,Normal
603,Generic
604,Reconnaissance
605,Generic
606,Exploits
607,Normal
608,Fuzzers
609,Generic
610,Normal
611,DoS
612,Normal
613,Normal
614,Generic
615,Generic
616,Exploits
617,Normal
618,Generic
619,Exploits
620,Generic
621,Fuzzers
622,Exploits
623,Generic
624,Generic
625,Normal
626,Normal
627,Normal
628,Generic
629,Normal
630,Normal
631,Generic
632,Normal
633,Reconnaissance
634,Generic
635,Normal
636,Normal
637,Exploits
638,Exploits
639,Generic
640,Normal
641,Exploits
642,Exploits
643,Normal
644,Normal
645,Fuzzers
646,Exploits
647,Normal
648,DoS
649,Normal
650,Normal
651,Shellcode
652,Fuzzers
653,Normal
654,Exploits
655,Normal
656,Normal
657,Generic
658,Generic
659,Exploits
660,Normal
661,Generic
662,Generic
663,Generic
664,Normal
665,Generic
666,Normal
667,Exploits
668,Fuzzers
669,Generic
670,Generic
671,Generic
672,Exploits
673,Normal
674,Generic
675,Normal
676,Normal
677,Normal
678,Fuzzers
679,Normal
680,Reconnaissance
681,Exploits
682,Exploits
683,Generic
684,Normal
685,Exploits
686,DoS
687,Exploits
688,Exploits
689,Exploits
690,Exploits
691,Generic
692,Generic
693,Normal
694,Fuzzers
695,Normal
696,Generic
697,Normal
698,Fuzzers
699,Generic
700,Fuzzers
701,Fuzzers
702,Exploits
703,Generic
704,Normal
705,Exploits
706,Normal
707,Reconnaissance
708,Exploits
709,Fuzzers
710,Exploits
711,DoS
712,Normal
713,Exploits
714,Generic
715,Fuzzers
716,Exploits
717,Normal
718,Normal
719,Normal
720,Normal
721,Normal
722,Exploits
723,Generic
724,Normal
725,Generic
726,Normal
727,Exploits
728,Analysis
729,Normal
730,Normal
731,Reconnaissance
732,Normal
733,Exploits
734,Normal
735,Normal
736,Generic
737,Reconnaissance
738,Exploits
739,Normal
740,Exploits
741,Normal
742,Analysis
743,DoS
744,Generic
745,Fuzzers
746,Generic
747,Generic
748,Normal
749,DoS
750,Normal
751,Normal
752,Generic
753,Generic
754,Generic
755,Generic
756,Generic
757,Normal
758,Normal
759,Generic
760,Exploits
761,Exploits
762,DoS
763,Fuzzers
764,Normal
765,Exploits
766,Generic
767,Normal
768,Reconnaissance
769,Generic
770,Exploits
771,Normal
772,Exploits
773,Generic
774,Shellcode
775,Normal
776,DoS
777,Normal
778,Generic
779,Backdoor
780,Normal
781,Normal
782,Normal
783,Exploits
784,Generic
785,Generic
786,Normal
787,Generic
788,Exploits
789,Generic
790,Exploits
791,Fuzzers
792,Normal
793,Generic
794,Normal
795,Fuzzers
796,Exploits
797,Normal
798,Normal
799,Fuzzers
800,Exploits
801,Normal
802,Normal
803,DoS
804,Generic
805,Exploits
806,Exploits
807,Normal
808,DoS
809,Exploits
810,Exploits
811,Generic
812,Generic
813,Fuzzers
814,Normal
815,Normal
816,Generic
817,Generic
818,Generic
819,Fuzzers
820,Normal
821,DoS
822,Normal
823,Fuzzers
824,Generic
825,Normal
826,Fuzzers
827,Normal
828,Normal
829,Normal
830,Generic
831,Exploits
832,Normal
833,Normal
834,Reconnaissance
835,Exploits
836,Generic
837,Fuzzers
838,DoS
839,Fuzzers
840,Normal
841,Normal
842,Normal
843,Normal
844,Normal
845,Generic
846,Generic
847,Generic
848,DoS
849,Normal
850,Exploits
851,Reconnaissance
852,Generic
853,Exploits
854,Exploits
855,Generic
856,Normal
857,Exploits
858,Normal
859,Fuzzers
860,Exploits
861,Normal
862,Normal
863,DoS
864,Normal
865,Generic
866,Generic
867,Exploits
868,Exploits
869,Exploits
870,Generic
871,Fuzzers
872,Exploits
873,Fuzzers
874,Normal
875,Exploits
876,Normal
877,Normal
878,Exploits
879,Exploits
880,Normal
881,Exploits
882,Normal
883,Fuzzers
884,DoS
885,Normal
886,Fuzzers
887,Exploits
888,Normal
889,Exploits
890,Normal
891,Normal
892,Normal
893,Normal
894,Normal
895,Normal
896,Generic
897,Generic
898,Exploits
899,Exploits
900,Normal
901,Normal
902,Normal
903,Normal
904,Analysis
905,Generic
906,Generic
907,Generic
908,Fuzzers
909,Reconnaissance
910,Generic
911,Fuzzers
912,Exploits
913,Exploits
914,Exploits
915,Reconnaissance
916,Exploits
917,Fuzzers
918,Normal
919,Fuzzers
920,Backdoor
921,Normal
922,Generic
923,Reconnaissance
924,Normal
925,Normal
926,Normal
927,DoS
928,Reconnaissance
929,Fuzzers
930,Normal
931,Exploits
932,Generic
933,Generic
934,Generic
935,Generic
936,DoS
937,Fuzzers
938,Exploits
939,DoS
940,Generic
941,Normal
942,Exploits
943,Fuzzers
944,Normal
945,Generic
946,Exploits
947,Generic
948,Exploits
949,Reconnaissance
950,Normal
951,Normal
952,Normal
953,Reconnaissance
954,Reconnaissance
955,Normal
956,Fuzzers
957,Reconnaissance
958,Normal
959,Normal
960,DoS
961,Normal
962,Normal
963,Generic
964,DoS
965,DoS
966,Normal
967,Generic
968,Normal
969,Generic
970,Generic
971,Reconnaissance
972,Exploits
973,Normal
974,Normal
975,Fuzzers
976,Exploits
977,Generic
978,Generic
979,Generic
980,Reconnaissance
981,Generic
982,Normal
983,Reconnaissance
984,Generic
985,Fuzzers
986,Generic
987,Normal
988,Fuzzers
989,Generic
990,Generic
991,DoS
992,Exploits
993,DoS
994,Normal
995,Generic
996,Reconnaissance
997,Exploits
998,Normal
999,Generic
1000,Generic
1001,Normal
1002,Generic
1003,Exploits
1004,Generic
1005,Generic
1006,Generic
1007,Normal
1008,Exploits
1009,Reconnaissance
1010,DoS
1011,Generic
1012,Normal
1013,Normal
1014,Normal
1015,Generic
1016,Reconnaissance
1017,Normal
1018,Normal
1019,Normal
1020,Normal
1021,Normal
1022,Exploits
1023,Generic
1024,Generic
1025,Generic
1026,Normal
1027,Generic
1028,Exploits
1029,Exploits
1030,Normal
1031,Generic
1032,Exploits
1033,Exploits
1034,Generic
1035,DoS
1036,Generic
1037,DoS
1038,Analysis
1039,Fuzzers
1040,Normal
1041,Generic
1042,Fuzzers
1043,Reconnaissance
1044,Generic
1045,Generic
1046,Normal
1047,DoS
1048,Normal
1049,Fuzzers
1050,Reconnaissance
1051,Exploits
1052,Reconnaissance
1053,Fuzzers
1054,Reconnaissance
1055,Normal
1056,Normal
1057,Normal
1058,Normal
1059,Reconnaissance
1060,Normal
1061,DoS
1062,Generic
1063,Reconnaissance
1064,Normal
1065,Fuzzers
1066,Exploits
1067,Exploits
1068,Normal
1069,Exploits
1070,DoS
1071,Exploits
1072,Exploits
1073,Fuzzers
1074,Generic
1075,Generic
1076,Normal
1077,Backdoor
1078,Generic
1079,Reconnaissance
1080,Generic
1081,DoS
1082,Generic
1083,Normal
1084,Exploits
1085,Generic
1086,DoS
1087,Normal
1088,Exploits
1089,Normal
1090,Normal
1091,Normal
1092,Normal
1093,Normal
1094,Reconnaissance
1095,Exploits
1096,Fuzzers
1097,Normal
1098,DoS
1099,Normal
1100,Reconnaissance
1101,Generic
1102,Exploits
1103,Reconnaissance
1104,Normal
1105,Generic
1106,Fuzzers
1107,Generic
1108,Normal
1109,Generic
1110,Generic
1111,Normal
1112,Analysis
1113,Generic
1114,Normal
1115,Normal
1116,Fuzzers
1117,Exploits
1118,Exploits
1119,Exploits
1120,Analysis
1121,Normal
1122,Normal
1123,Exploits
1124,Normal
1125,Normal
1126,Reconnaissance
1127,Fuzzers
1128,Exploits
1129,Reconnaissance
1130,Generic
1131,Generic
1132,Normal
1133,Normal
1134,Normal
1135,Exploits
1136,Generic
1137,DoS
1138,Reconnaissance
1139,Generic
1140,Fuzzers
1141,Generic
1142,Exploits
1143,Normal
1144,Normal
1145,Normal
1146,Normal
1147,Generic
1148,Fuzzers
1149,Normal
1150,Generic
1151,Fuzzers
1152,Exploits
1153,Normal
1154,Fuzzers
1155,Generic
1156,Normal
1157,Shellcode
1158,Normal
1159,Generic
1160,DoS
1161,Fuzzers
1162,Normal
1163,Exploits
1164,Fuzzers
1165,Backdoor
1166,Generic
1167,Generic
1168,Generic
1169,Generic
1170,Normal
1171,Generic
1172,Generic
1173,Generic
1174,Generic
1175,Normal
1176,Generic
1177,Normal
1178,Normal
1179,Fuzzers
1180,Exploits
1181,Exploits
1182,Normal
1183,Normal
1184,Exploits
1185,Normal
1186,Normal
1187,Generic
1188,Normal
1189,Normal
1190,Fuzzers
1191,Normal
1192,Reconnaissance
1193,Normal
1194,Normal
1195,Normal
1196,Generic
1197,Fuzzers
1198,Reconnaissance
1199,Normal
1200,Fuzzers
1201,Normal
1202,Normal
1203,Fuzzers
1204,DoS
1205,Exploits
1206,Reconnaissance
1207,Normal
1208,Backdoor
1209,Normal
1210,Exploits
1211,Fuzzers
1212,Fuzzers
1213,DoS
1214,Normal
1215,DoS
1216,Generic
1217,Normal
1218,Normal
1219,Normal
1220,Generic
1221,Reconnaissance
1222,Reconnaissance
1223,Generic
1224,Generic
1225,Normal
1226,Reconnaissance
1227,DoS
1228,Normal
1229,Normal
1230,DoS
1231,Generic
1232,DoS
1233,Normal
1234,Analysis
1235,Normal
1236,Generic
1237,Exploits
1238,Reconnaissance
1239,Reconnaissance
1240,Fuzzers
1241,Fuzzers
1242,Generic
1243,Fuzzers
1244,DoS
1245,Exploits
1246,Exploits
1247,Exploits
1248,Generic
1249,Normal
1250,Fuzzers
1251,DoS
1252,Reconnaissance
1253,Reconnaissance
1254,Exploits
1255,Exploits
1256,DoS
1257,Generic
1258,Exploits
1259,Generic
1260,Generic
1261,Generic
1262,Fuzzers
1263,Normal
1264,Normal
1265,Exploits
1266,Exploits
1267,Exploits
1268,DoS
1269,Exploits
1270,Normal
1271,Reconnaissance
1272,Generic
1273,Exploits
1274,Exploits
1275,Normal
1276,Normal
1277,Normal
1278,Fuzzers
1279,Exploits
1280,Normal
1281,Reconnaissance
1282,Normal
1283,Normal
1284,Generic
1285,Normal
1286,DoS
1287,DoS
1288,Normal
1289,Generic
1290,DoS
1291,Exploits
1292,Normal
1293,Exploits
1294,Fuzzers
1295,Normal
1296,DoS
1297,Exploits
1298,Normal
1299,Reconnaissance
1300,Normal
1301,Normal
1302,Generic
1303,Normal
1304,Generic
1305,Generic
1306,Normal
1307,Normal
1308,Normal
1309,Normal
1310,Exploits
1311,Normal
1312,Normal
1313,Backdoor
1314,Normal
1315,Normal
1316,Fuzzers
1317,Exploits
1318,Normal
1319,Generic
1320,Exploits
1321,Exploits
1322,Generic
1323,Generic
1324,Normal
1325,Fuzzers
1326,Exploits
1327,Generic
1328,Generic
1329,Generic
1330,Normal
1331,Fuzzers
1332,Exploits
1333,Generic
1334,Normal
1335,Generic
1336,Reconnaissance
1337,Fuzzers
1338,Exploits
1339,Normal
1340,Normal
1341,Normal
1342,Generic
1343,Normal
1344,Exploits
1345,Exploits
1346,Reconnaissance
1347,Normal
1348,Normal
1349,Normal
1350,Normal
1351,Generic
1352,Normal
1353,Generic
1354,Analysis
1355,Normal
1356,Exploits
1357,Normal
1358,Normal
1359,Normal
1360,Reconnaissance
1361,Exploits
1362,Normal
1363,Generic
1364,Exploits
1365,Exploits
1366,Normal
1367,Exploits
1368,Normal
1369,Reconnaissance
1370,Generic
1371,Normal
1372,Generic
1373,Normal
1374,Normal
1375,Generic
1376,Fuzzers
1377,DoS
1378,Normal
1379,Exploits
1380,Normal
1381,Normal
1382,Normal
1383,Normal
1384,Generic
1385,Generic
1386,Normal
1387,DoS
1388,Exploits
1389,Fuzzers
1390,Normal
1391,Normal
1392,Exploits
1393,Normal
1394,Normal
1395,Fuzzers
1396,Generic
1397,Normal
1398,Normal
1399,Normal
1400,Exploits
1401,Generic
1402,Exploits
1403,Generic
1404,Normal
1405,Fuzzers
1406,Normal
1407,Normal
1408,Exploits
1409,Normal
1410,Fuzzers
1411,Generic
1412,Generic
1413,Exploits
1414,Normal
1415,Normal
1416,Normal
1417,Normal
1418,Normal
1419,Generic
1420,Normal
1421,Normal
1422,Exploits
1423,Exploits
1424,Fuzzers
1425,Generic
1426,Generic
1427,Exploits
1428,Backdoor
1429,Normal
1430,Exploits
1431,Exploits
1432,Exploits
1433,Normal
1434,Normal
1435,Generic
1436,Normal
1437,DoS
1438,Generic
1439,Normal
1440,Fuzzers
1441,Exploits
1442,Exploits
1443,Exploits
1444,Generic
1445,Normal
1446,Normal
1447,Generic
1448,Exploits
1449,Generic
1450,DoS
1451,Exploits
1452,Generic
1453,Normal
1454,Normal
1455,Normal
1456,Normal
1457,Exploits
1458,DoS
1459,Normal
1460,Generic
1461,Generic
1462,Reconnaissance
1463,Exploits
1464,Generic
1465,Generic
1466,Generic
1467,Normal
1468,Normal
1469,Generic
1470,Normal
1471,Normal
1472,Normal
1473,Normal
1474,Generic
1475,DoS
1476,Generic
1477,Generic
1478,Generic
1479,Fuzzers
1480,Exploits
1481,Generic
1482,Normal
1483,Generic
1484,Exploits
1485,Normal
1486,Generic
1487,Normal
1488,Normal
1489,Normal
1490,Normal
1491,Generic
1492,Reconnaissance
1493,Generic
1494,Normal
1495,Exploits
1496,Normal
1497,Exploits
1498,Normal
1499,Fuzzers
1500,Exploits
1501,DoS
1502,Shellcode
1503,Normal
1504,Exploits
1505,Fuzzers
1506,Fuzzers
1507,Normal
1508,Generic
1509,Generic
1510,Normal
1511,Reconnaissance
1512,Normal
1513,DoS
1514,Fuzzers
1515,Reconnaissance
1516,Reconnaissance
1517,Normal
1518,Fuzzers
1519,Analysis
1520,Exploits
1521,Exploits
1522,Exploits
1523,Normal
1524,Fuzzers
1525,Fuzzers
1526,Reconnaissance
1527,Generic
1528,Fuzzers
1529,Exploits
1530,Normal
1531,Normal
1532,DoS
1533,Normal
1534,Normal
1535,Exploits
1536,Exploits
1537,Normal
1538,Shellcode
1539,Exploits
1540,Normal
1541,Reconnaissance
1542,Exploits
1543,Generic
1544,Exploits
1545,Exploits
1546,Backdoor
1547,Generic
1548,Normal
1549,Generic
1550,Exploits
1551,Generic
1552,Normal
1553,Exploits
1554,Shellcode
1555,Generic
1556,Exploits
1557,Generic
1558,Reconnaissance
1559,Normal
1560,Normal
1561,Generic
1562,Reconnaissance
1563,Normal
1564,Normal
1565,Reconnaissance
1566,Generic
1567,Normal
1568,Generic
1569,Exploits
1570,Normal
1571,Generic
1572,Generic
1573,Generic
1574,Exploits
1575,Normal
1576,Normal
1577,Generic
1578,Exploits
1579,Normal
1580,Exploits
1581,Generic
1582,Normal
1583,Fuzzers
1584,Normal
1585,Generic
1586,Reconnaissance
1587,Reconnaissance
1588,Generic
1589,Generic
1590,Exploits
1591,Reconnaissance
1592,Generic
1593,Fuzzers
1594,Generic
1595,Exploits
1596,Exploits
1597,Reconnaissance
1598,Fuzzers
1599,Exploits
1600,Exploits
1601,Generic
1602,Reconnaissance
1603,Exploits
1604,Normal
1605,Exploits
1606,Normal
1607,Normal
1608,Fuzzers
1609,Reconnaissance
1610,Generic
1611,Exploits
1612,Generic
1613,Fuzzers
1614,Normal
1615,Normal
1616,Normal
1617,Normal
1618,Generic
1619,Normal
1620,Fuzzers
1621,Exploits
1622,Normal
1623,Normal
1624,Fuzzers
1625,Generic
1626,Generic
1627,Reconnaissance
1628,Normal
1629,Exploits
1630,DoS
1631,Generic
1632,Normal
1633,Exploits
1634,Normal
1635,Normal
1636,Fuzzers
1637,DoS
1638,Normal
1639,Generic
1640,Reconnaissance
1641,Normal
1642,Normal
1643,DoS
1644,Generic
1645,Fuzzers
1646,Reconnaissance
1647,Generic
1648,Normal
1649,Exploits
1650,Generic
1651,Shellcode
1652,DoS
1653,Backdoor
1654,Exploits
1655,Normal
1656,Generic
1657,Exploits
1658,Reconnaissance
1659,Exploits
1660,Exploits
1661,Normal
1662,Backdoor
1663,Normal
1664,Reconnaissance
1665,Generic
1666,Exploits
1667,Generic
1668,Normal
1669,Normal
1670,DoS
1671,Reconnaissance
1672,Exploits
1673,Fuzzers
1674,Exploits
1675,Exploits
1676,Normal
1677,Normal
1678,Generic
1679,Normal
1680,Generic
1681,Exploits
1682,Generic
1683,Generic
1684,Normal
1685,DoS
1686,Normal
1687,Normal
1688,Normal
1689,Generic
1690,Generic
1691,Generic
1692,Shellcode
1693,Generic
1694,Normal
1695,Generic
1696,Fuzzers
1697,Normal
1698,Exploits
1699,Fuzzers
1700,Exploits
1701,Normal
1702,Generic
1703,Generic
1704,Fuzzers
1705,Exploits
1706,Exploits
1707,Normal
1708,Normal
1709,Generic
1710,Normal
1711,Normal
1712,Fuzzers
1713,Exploits
1714,Normal
1715,Normal
1716,Normal
1717,Fuzzers
1718,Exploits
1719,DoS
1720,Exploits
1721,Exploits
1722,Normal
1723,Generic
1724,Normal
1725,Reconnaissance
1726,Generic
1727,Normal
1728,Exploits
1729,Reconnaissance
1730,Generic
1731,Generic
1732,Exploits
1733,Generic
1734,Exploits
1735,Exploits
1736,DoS
1737,Generic
1738,Generic
1739,DoS
1740,Generic
1741,Normal
1742,Normal
1743,Normal
1744,Normal
1745,Reconnaissance
1746,Exploits
1747,Fuzzers
1748,Generic
1749,Normal
1750,Generic
1751,Generic
1752,Exploits
1753,Normal
1754,Exploits
1755,Normal
1756,Normal
1757,DoS
1758,Fuzzers
1759,DoS
1760,Normal
1761,Normal
1762,Shellcode
1763,Normal
1764,Generic
1765,Reconnaissance
1766,Generic
1767,DoS
1768,DoS
1769,Normal
1770,Generic
1771,Generic
1772,Normal
1773,Normal
1774,Generic
1775,Normal
1776,Generic
1777,Normal
1778,Generic
1779,Normal
1780,Generic
1781,Generic
1782,Fuzzers
1783,Fuzzers
1784,Normal
1785,Normal
1786,Fuzzers
1787,DoS
1788,Normal
1789,Exploits
1790,Reconnaissance
1791,Normal
1792,Normal
1793,Exploits
1794,Fuzzers
1795,Normal
1796,Exploits
1797,Exploits
1798,Exploits
1799,Normal
1800,Normal
1801,Normal
1802,Exploits
1803,Normal
1804,DoS
1805,Exploits
1806,Fuzzers
1807,Generic
1808,Fuzzers
1809,Generic
1810,Normal
1811,Normal
1812,Normal
1813,Fuzzers
1814,Generic
1815,Normal
1816,Generic
1817,Normal
1818,Normal
1819,Normal
1820,Normal
1821,Normal
1822,DoS
1823,Exploits
1824,Generic
1825,Normal
1826,Exploits
1827,Generic
1828,Generic
1829,Exploits
1830,Fuzzers
1831,Normal
1832,Exploits
1833,Normal
1834,Normal
1835,Reconnaissance
1836,Fuzzers
1837,Normal
1838,Generic
1839,Exploits
1840,Normal
1841,Generic
1842,Fuzzers
1843,Generic
1844,Normal
1845,Exploits
1846,Generic
1847,Fuzzers
1848,Normal
1849,Normal
1850,Normal
1851,Normal
1852,Generic
1853,DoS
1854,Generic
1855,Normal
1856,Exploits
1857,Generic
1858,Fuzzers
1859,Normal
1860,Normal
1861,Fuzzers
1862,Generic
1863,Normal
1864,Normal
1865,Generic
1866,Reconnaissance
1867,Generic
1868,Fuzzers
1869,Generic
1870,Normal
1871,DoS
1872,Exploits
1873,Fuzzers
1874,Exploits
1875,Normal
1876,Normal
1877,Exploits
1878,Exploits
1879,Generic
1880,Fuzzers
1881,Normal
1882,Generic
1883,Exploits
1884,DoS
1885,Exploits
1886,Normal
1887,Normal
1888,Normal
1889,Fuzzers
1890,Fuzzers
1891,Exploits
1892,Normal
1893,Fuzzers
1894,Exploits
1895,Generic
1896,Normal
1897,Fuzzers
1898,Backdoor
1899,Normal
1900,Normal
1901,Generic
1902,Reconnaissance
1903,DoS
1904,Normal
1905,Generic
1906,Normal
1907,Reconnaissance
1908,Generic
1909,Fuzzers
1910,Exploits
1911,Generic
1912,Fuzzers
1913,Reconnaissance
1914,Exploits
1915,Normal
1916,Normal
1917,Generic
